V2,V4,X,X.1
CEBPB,ADAMTSL1,0.7020173,0.603351699
CEBPB,QKI,0.3156931,0.216170615
CEBPB,CHST10,0.5313532,0.432309089
CEBPB,SLC4A8,0.1496434,0.049752666
CEBPB,ECE2,0.3362904,0.236813602
CEBPB,SPINK1,0.2383644,0.138670465
CEBPB,CSRP1,0.2109539,0.111199107
CEBPB,ZNF711,0.4204877,0.321197694
CEBPB,ZNF608,0.1586633,0.058792619
CEBPB,ZNF217,0.2778106,0.178204129
CEBPB,WDR81,0.5715159,0.472560832
CEBPB,UBE2M,0.2898326,0.190252782
CEBPB,TSPAN1,0.5699249,0.470966336
CEBPB,TRPV1,0.5662100,0.467243217
CEBPB,TRIM66,0.1472090,0.047312921
CEBPB,TRIM26,0.1547349,0.054855419
CEBPB,TRIB2,0.3567532,0.257321783
CEBPB,TNIP1,0.1626459,0.062783990
CEBPB,TMUB1,0.2264296,0.126709211
CEBPB,TMTC2,0.5831086,0.484179267
CEBPB,TLE3,0.2097344,0.109976924
CEBPB,TINAGL1,0.1477545,0.047859567
CEBPB,TIAF1,0.1424242,0.042517468
CEBPB,THRA,0.1608593,0.060993462
CEBPB,TET3,0.6700167,0.571280131
CEBPB,TBL1X,0.1861553,0.086345525
CEBPB,TAF11,0.2208394,0.121106544
CEBPB,SYS1-DBNDD2,0.3235408,0.224035759
CEBPB,STX4,0.2418627,0.142176505
CEBPB,STOML2,0.1185704,0.018610739
CEBPB,STK39,0.1372394,0.037321126
CEBPB,STAT3,0.1575413,0.057668087
CEBPB,SSH2,0.1337148,0.033788735
CEBPB,SNX4,0.1761296,0.076297660
CEBPB,SNORA81,0.1566070,0.056731682
CEBPB,SNORA48,0.6990299,0.600357692
CEBPB,SMARCAD1,0.1157798,0.015813943
CEBPB,SMAD7,0.4302851,0.331016786
CEBPB,SMAD3,0.1237495,0.023801394
CEBPB,SLC16A10,0.3876967,0.288333994
CEBPB,SHPK,0.6505809,0.551801177
CEBPB,SH2D4A,0.5740567,0.475107252
CEBPB,SH2D3C,0.1021878,0.002191839
CEBPB,SETD1B,0.4241471,0.324865186
CEBPB,SCRN2,0.1247525,0.024806521
CEBPB,SASH1,0.6211228,0.522277804
CEBPB,RPS6KB2,0.5131549,0.414070384
CEBPB,RPS6KA5,0.1498742,0.049983982
CEBPB,RNU4ATAC,0.1514150,0.051528168
CEBPB,RNF123,0.1526202,0.052736124
CEBPB,RMND5B,0.1057113,0.005723121
CEBPB,RIC8B,0.1598394,0.059971323
CEBPB,RFX7,0.1943474,0.094555863
CEBPB,PTDSS2,0.1531638,0.053280839
CEBPB,PSMC3IP,0.2431759,0.143492652
CEBPB,PRR3,0.2829599,0.183364865
CEBPB,PRLR,0.1046277,0.004637180
CEBPB,PRG4,0.2354179,0.135717369
CEBPB,PPP3CB,0.1027262,0.002731433
CEBPB,PPP1R3D,0.3291315,0.229638905
CEBPB,PPP1R14D,0.6612876,0.562531667
CEBPB,PLK3,0.6612876,0.562531667
CEBPB,PLEKHB1,0.4572627,0.358054199
CEBPB,PIM3,0.1377246,0.037807483
CEBPB,PHLDB1,0.4089592,0.309643646
CEBPB,PDGFD,0.3746740,0.275282349
CEBPB,PDE6D,0.1307087,0.030776024
CEBPB,PARP8,0.1703808,0.070536082
CEBPB,PAH,0.6273291,0.528497844
CEBPB,ONECUT2,0.1592019,0.059332413
CEBPB,OLIG1,0.5624323,0.463457078
CEBPB,NPHS1,0.1439199,0.044016530
CEBPB,NPAT,0.5292059,0.430157053
CEBPB,NHEJ1,0.4793723,0.380212863
CEBPB,NSMCE3,0.5267376,0.427683226
CEBPB,NCALD,0.2160552,0.116311734
CEBPB,MUS81,0.1374758,0.037558129
CEBPB,MTX1,0.1143069,0.014337776
CEBPB,MTUS1,0.1672498,0.067398135
CEBPB,MSS51,0.4518284,0.352607896
CEBPB,MIR5047,0.6727549,0.574024400
CEBPB,MIR4647,0.4002425,0.300907575
CEBPB,MIR3652,0.1945487,0.094757551
CEBPB,MIR3064,0.5109352,0.411845800
CEBPB,MIR22,0.5679286,0.468965549
CEBPB,MDC1,0.1548547,0.054975559
CEBPB,MBD6,0.2504221,0.150754936
CEBPB,MARVELD1,0.5600819,0.461101515
CEBPB,MARK2,0.2140774,0.114329591
CEBPB,MAPKAP1,0.2834631,0.183869131
CEBPB,MAP2K6,0.5716730,0.472718249
CEBPB,MANEA,0.3172296,0.217710582
CEBPB,MALT1,0.3030151,0.203464571
CEBPB,MAL2,0.1910796,0.091280764
CEBPB,MAGI1,0.1990671,0.099285962
CEBPB,LRRC10B,0.1946042,0.094813155
CEBPB,LOXL1,0.5060875,0.406987281
CEBPB,MIR3936HG,0.1715257,0.071683514
CEBPB,TOB1-AS1,0.4965234,0.397401986
CEBPB,KLHL7,0.1315950,0.031664287
CEBPB,KLF5,0.2445549,0.144874688
CEBPB,KIF13A,0.1653961,0.065540319
CEBPB,CIPC,0.1653961,0.065540319
CEBPB,KCNJ3,0.1612996,0.061434695
CEBPB,IRS2,0.1243777,0.024430965
CEBPB,IRAK1BP1,0.2278396,0.128122307
CEBPB,IL18BP,0.5389154,0.439887988
CEBPB,IGF2,0.1864278,0.086618688
CEBPB,IFT43,0.2185487,0.118810771
CEBPB,IDH1-AS1,0.6676330,0.568891128
CEBPB,ICAM1,0.5296808,0.430632989
CEBPB,HOPX,0.1068822,0.006896672
CEBPB,HDAC8,0.2029060,0.103133384
CEBPB,LARGE2,0.1163963,0.016431862
CEBPB,ADGRF3,0.6718618,0.573129340
CEBPB,GPC6,0.1783641,0.078537094
CEBPB,G0S2,0.2002782,0.100499819
CEBPB,FXR2,0.2299197,0.130207021
CEBPB,FUT1,0.3115715,0.212039924
CEBPB,FOXQ1,0.5306257,0.431579957
CEBPB,FOXP2,0.1586904,0.058819705
CEBPB,LINC-PINT,0.1401001,0.040188256
CEBPB,FHIT,0.1920878,0.092291219
CEBPB,FBXO22,0.1724642,0.072624105
CEBPB,FASTK,0.1836097,0.083794336
CEBPB,FANCL,0.1238662,0.023918257
CEBPB,F3,0.2695885,0.169963804
CEBPB,EXT1,0.4204315,0.321141332
CEBPB,DLC1,0.5242179,0.425157957
CEBPB,DLAT,0.1974701,0.097685437
CEBPB,DHRS2,0.3104348,0.210900722
CEBPB,DHRS11,0.1577339,0.057861167
CEBPB,DENND2D,0.1569465,0.057071955
CEBPB,DACH2,0.1372394,0.037321126
CEBPB,CYFIP2,0.1031028,0.003108865
CEBPB,CSNK2A2,0.3947933,0.295446266
CEBPB,CRH,0.5014021,0.402291495
CEBPB,CREB5,0.1972940,0.097508959
CEBPB,CPNE4,0.2410079,0.141319804
CEBPB,CP,0.1434897,0.043585371
CEBPB,CKMT1A,0.2353616,0.135661030
CEBPB,CHMP5,0.1074500,0.007465718
CEBPB,CEP95,0.1730725,0.073233762
CEBPB,CELF3,0.1330027,0.033075073
CEBPB,CDNF,0.1316002,0.031669440
CEBPB,CD14,0.1858985,0.086088233
CEBPB,CCNA2,0.2717575,0.172137561
CEBPB,CCDC34,0.1920878,0.092291219
CEBPB,C2CD2,0.4600700,0.360867752
CEBPB,RAB5IF,0.1259027,0.025959281
CEBPB,C1orf112,0.3126903,0.213161157
CEBPB,C1RL,0.2968722,0.197308050
